maneuver,episode,seed,forced_ego_zero_speed,crashed_after_one_step,terminated,truncated,initial_dist_center,initial_speed,post_step_dist_center,post_step_ego_speed,conflict_ttc,initial_vehicle_count,spawn_probability,duration,negotiating_traffic
left,43,151043,True,False,False,False,44.254764556884766,10.0,44.254764556884766,0.0,inf,6,0.35,22,False
left,44,151044,True,False,False,False,40.36069869995117,10.0,40.36069869995117,0.0,inf,6,0.35,22,False
left,45,151045,True,False,False,False,55.65610885620117,10.0,55.65610885620117,0.0,inf,6,0.35,22,False
left,46,151046,True,False,False,False,48.32964324951172,10.0,48.32964324951172,0.0,inf,6,0.35,22,False
left,47,151047,True,False,False,False,41.473106384277344,10.0,41.473106384277344,0.0,inf,6,0.35,22,False
left,48,151048,True,False,False,False,52.68191909790039,10.0,52.68191909790039,0.0,inf,6,0.35,22,False
left,49,151049,True,False,False,False,40.32794952392578,10.0,40.32794952392578,0.0,inf,6,0.35,22,False
left,50,151050,True,False,False,False,42.20685958862305,10.0,42.20685958862305,0.0,inf,6,0.35,22,False
left,51,151051,True,False,False,False,35.72157287597656,10.0,35.72157287597656,0.0,inf,6,0.35,22,False
left,52,151052,True,False,False,False,50.81608963012695,10.0,50.81608963012695,0.0,inf,6,0.35,22,False
left,53,151053,True,False,False,False,51.37029266357422,10.0,51.37029266357422,0.0,inf,6,0.35,22,False
left,54,151054,True,False,False,False,52.93183517456055,10.0,52.93183517456055,0.0,inf,6,0.35,22,False
left,55,151055,True,False,False,False,45.672603607177734,10.0,45.672603607177734,0.0,inf,6,0.35,22,False
left,56,151056,True,False,False,False,49.935020446777344,10.0,49.935020446777344,0.0,inf,6,0.35,22,False
left,57,151057,True,False,False,False,44.00339126586914,10.0,44.00339126586914,0.0,inf,6,0.35,22,False
left,58,151058,True,False,False,False,46.92536544799805,10.0,46.92536544799805,0.0,inf,6,0.35,22,False
left,59,151059,True,False,False,False,44.82437515258789,10.0,44.82437515258789,0.0,inf,6,0.35,22,False
left,60,151060,True,False,False,False,50.476505279541016,10.0,50.476505279541016,0.0,inf,6,0.35,22,False
left,61,151061,True,False,False,False,46.80044174194336,10.0,46.80044174194336,0.0,inf,6,0.35,22,False
left,62,151062,True,False,False,False,46.3884391784668,10.0,46.3884391784668,0.0,inf,6,0.35,22,False
left,63,151063,True,False,False,False,45.823238372802734,10.0,45.823238372802734,0.0,inf,6,0.35,22,False
left,64,151064,True,False,False,False,40.76917266845703,10.0,40.76917266845703,0.0,inf,6,0.35,22,False
left,65,151065,True,False,False,False,44.00956726074219,10.0,44.00956726074219,0.0,inf,6,0.35,22,False
left,66,151066,True,False,False,False,57.237457275390625,10.0,57.237457275390625,0.0,inf,6,0.35,22,False
left,67,151067,True,False,False,False,45.15505599975586,10.0,45.15505599975586,0.0,inf,6,0.35,22,False
left,68,151068,True,False,False,False,56.77783966064453,10.0,56.77783966064453,0.0,inf,6,0.35,22,False
left,69,151069,True,False,False,False,46.7390022277832,10.0,46.7390022277832,0.0,inf,6,0.35,22,False
left,70,151070,True,False,False,False,48.096736907958984,10.0,48.096736907958984,0.0,inf,6,0.35,22,False
left,71,151071,True,False,False,False,48.12453079223633,10.0,48.12453079223633,0.0,inf,6,0.35,22,False
left,72,151072,True,False,False,False,45.37147521972656,10.0,45.37147521972656,0.0,inf,6,0.35,22,False
left,73,151073,True,False,False,False,40.091156005859375,10.0,40.091156005859375,0.0,inf,6,0.35,22,False
left,74,151074,True,False,False,False,41.17618942260742,10.0,41.17618942260742,0.0,inf,6,0.35,22,False
