maneuver,seed,forced_zero_steps,collided_after_forced_zero,arrived_after_forced_zero,ego_found,initial_ego_speed,ego_speed_after_step,ego_distance_from_center,vehicle_count_after_reset,min_ttc_seen,min_conflict_ttc_seen,initial_vehicle_count,spawn_probability,duration,negotiating_traffic,surrounding_vehicle_control,episode
straight,150095,3,False,False,True,10.0,0.0,52.88900229744635,9,7.3366786513959035,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,95
straight,150096,3,False,False,True,10.0,0.0,47.32456703556476,6,7.827236845292377,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,96
straight,150097,3,False,False,True,10.0,0.0,47.207275113755635,9,3.4120854071737927,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,97
straight,150098,3,False,False,True,10.0,0.0,45.946333812670744,8,4.842483504533908,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,98
straight,150099,3,False,False,True,10.0,0.0,48.195686284773565,6,3.21524169147114,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,99
left,160000,3,False,False,True,10.0,0.0,40.76372629594815,10,6.3590931447737296,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,0
left,160001,3,False,False,True,10.0,0.0,50.05745671826884,5,12.68483831339933,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,1
left,160002,3,False,False,True,10.0,0.0,44.2716587726916,11,4.323100212087044,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,2
left,160003,3,False,False,True,10.0,0.0,45.351296401285175,6,11.102979668376365,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,3
left,160004,3,False,False,True,10.0,0.0,45.316268098995536,7,7.25381083376596,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,4
left,160005,3,False,False,True,10.0,0.0,48.235876219836264,6,12.72773671873642,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,5
left,160006,3,False,False,True,10.0,0.0,48.160212727281966,10,8.098114689381392,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,6
left,160007,3,False,False,True,10.0,0.0,44.67220507456162,6,10.452672330416787,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,7
left,160008,3,False,False,True,10.0,0.0,47.68018992021195,7,3.4891299195522736,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,8
left,160009,3,False,False,True,10.0,0.0,45.924985043577706,4,7.386484860348985,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,9
left,160010,3,False,False,True,10.0,0.0,45.80679291017581,5,4.761109642441706,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,10
left,160011,3,False,False,True,10.0,0.0,48.33030623562389,5,13.196478825520702,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,11
left,160012,3,False,False,True,10.0,0.0,48.58333882281085,5,inf,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,12
left,160013,3,False,False,True,10.0,0.0,43.39033419160087,9,6.939001472618449,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,13
left,160014,3,False,False,True,10.0,0.0,44.119895224632366,7,5.105947228542795,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,14
left,160015,3,False,False,True,10.0,0.0,35.54529209647949,8,4.7915967058224735,inf,12,0.5,22,False,unmodified_highway_env_IDMVehicle,15
